year,country,category,value
2018,Argentina,South America,106
2018,Armenia,Asia,115
2018,Australia,Oceania,22
2018,Austria,Europe,282
2018,Azerbaijan,Asia,5
2018,Belgium,Europe,166
2018,Belarus,Europe,1804
2018,Brazil,South America,14
2018,Canada,North America,1319
2018,Costa Rica,North America,17
2018,Cyprus,Asia,30
2018,Czechia,Europe,318
2018,Denmark,Europe,27
2018,Ecuador,South America,14
2018,Estonia,Europe,64
2018,Finland,Europe,8
2018,France,Europe,1715
2018,United Kingdom of Great Britain and Northern Ireland,Europe,144
2018,Georgia,Asia,617
2018,Germany,Europe,741
2018,Greece,Europe,145
2018,Croatia,Europe,8
2018,Hungary,Europe,19
2018,Iceland,Europe,17
2018,Ireland,Europe,78
2018,Italy,Europe,5861
2018,Kyrgyzstan,Asia,19
2018,South Korea,Asia,14
2018,Liechtenstein,Europe,5
2018,Lithuania,Europe,64
2018,Luxembourg,Europe,6
2018,Mauritania,Africa,5
2018,Moldova,Europe,58
2018,Mexico,North America,18
2018,Malta,Europe,136
2018,Netherlands,Europe,23
2018,Norway,Europe,10
2018,Peru,South America,16
2018,Poland,Europe,464
2018,Portugal,Europe,423
2018,Romania,Europe,28
2018,Russian Federation,Europe ,75146
2018,Spain,Europe,562
2018,Kosovo,Europe,15
2018,Slovakia,Europe,23
2018,Slovenia,Europe,5
2018,Sweden,Europe,215
2018,Switzerland,Europe,56
2018,Uruguay,South America,11
2018,United States of America,North America,2270
2019,Argentina,South America,117
2019,Armenia,Asia,116
2019,Australia,Oceania,24
2019,Austria,Europe,265
2019,Azerbaijan,Asia,5
2019,Belgium,Europe,254
2019,Belarus,Europe,2300
2019,Bolivia ,South America,5
2019,Brazil,South America,17
2019,Canada,North America,1199
2019,Costa Rica,North America,13
2019,Cyprus,Asia,30
2019,Czechia,Europe,305
2019,Denmark,Europe,28
2019,Ecuador,South America,14
2019,Estonia,Europe,62
2019,Finland,Europe,11
2019,France,Europe,1839
2019,United Kingdom of Great Britain and Northern Ireland,Europe,185
2019,Georgia,Asia,306
2019,Germany,Europe,847
2019,Greece,Europe,151
2019,Croatia,Europe,8
2019,Hungary,Europe,15
2019,Iceland,Europe,18
2019,Ireland,Europe,81
2019,Israel,Asia,5
2019,Italy,Europe,6353
2019,Kyrgyzstan,Asia,23
2019,South Korea,Asia,14
2019,Liechtenstein,Europe,5
2019,Lithuania,Europe,64
2019,Luxembourg,Europe,6
2019,Mauritania,Africa,5
2019,Moldova,Europe,53
2019,Mexico,North America,17
2019,Malta,Europe,142
2019,Netherlands,Europe,20
2019,Norway,Europe,10
2019,Peru,South America,17
2019,Poland,Europe,485
2019,Portugal,Europe,436
2019,Romania,Europe,22
2019,South Africa,Africa,5
2019,Russian Federation,Europe ,40393
