year,Origin,Asylum,Refugee,originLon,originLat,destinationLon,destinationLat
2018,Ukraine,Argentina,106,31.2718321,49.4871968,-64.9672817,-34.9964963
2018,Ukraine,Armenia,115,31.2718321,49.4871968,44.6736646,40.7696272
2018,Ukraine,Australia,22,31.2718321,49.4871968,134.755,-24.7761086
2018,Ukraine,Austria,282,31.2718321,49.4871968,14.12456,47.59397
2018,Ukraine,Azerbaijan,5,31.2718321,49.4871968,47.7872508,40.3936294
2018,Ukraine,Belgium,166,31.2718321,49.4871968,4.6667145,50.6402809
2018,Ukraine,Belarus,1804,31.2718321,49.4871968,27.6971358,53.4250605
2018,Ukraine,Brazil,14,31.2718321,49.4871968,-53.2,-10.3333333
2018,Ukraine,Canada,1319,31.2718321,49.4871968,-107.991707,61.0666922
2018,Ukraine,Costa Rica,17,31.2718321,49.4871968,-84.0739102,10.2735633
2018,Ukraine,Cyprus,30,31.2718321,49.4871968,33.1451285,34.9823018
2018,Ukraine,Czechia,318,31.2718321,49.4871968,15.3381061,49.7439047
2018,Ukraine,Denmark,27,31.2718321,49.4871968,10.3333283,55.670249
2018,Ukraine,Ecuador,14,31.2718321,49.4871968,-79.3666965,-1.3397668
2018,Ukraine,Estonia,64,31.2718321,49.4871968,25.3319078,58.7523778
2018,Ukraine,Finland,8,31.2718321,49.4871968,25.9209164,63.2467777
2018,Ukraine,France,1715,31.2718321,49.4871968,1.8883335,46.603354
2018,Ukraine,United Kingdom of Great Britain and Northern Ireland,144,31.2718321,49.4871968,-3.2765753,54.7023545
2018,Ukraine,Georgia,617,31.2718321,49.4871968,44.0287382,41.6809707
2018,Ukraine,Germany,741,31.2718321,49.4871968,10.4478313,51.1638175
2018,Ukraine,Greece,145,31.2718321,49.4871968,21.9877132,38.9953683
2018,Ukraine,Croatia,8,31.2718321,49.4871968,15.6575209,45.3658443
2018,Ukraine,Hungary,19,31.2718321,49.4871968,19.5060937,47.1817585
2018,Ukraine,Iceland,17,31.2718321,49.4871968,-18.1059013,64.9841821
2018,Ukraine,Ireland,78,31.2718321,49.4871968,-7.9794599,52.865196
2018,Ukraine,Italy,5861,31.2718321,49.4871968,12.674297,42.6384261
2018,Ukraine,Kyrgyzstan,19,31.2718321,49.4871968,74.724091,41.5089324
2018,Ukraine,South Korea,14,31.2718321,49.4871968,127.6961188,36.638392
